date,samsung,kospi200,samsung_dividends yields(annualized),delta_samsung,delta_kospi,vol_samsung,vol_kospi,corr,zero_rate_3M,zero_rate_6M,zero_rate_1Y,zero_rate_2Y,zero_rate_3Y,pnl
2023-08-02,"69,900",344,1.84,,,0.2098,0.1351,0.7649,3.4733,3.4918,3.494,3.7213,3.6783,0
2023-08-03,"68,800",342,1.84,,,0.2141,0.1526,0.783,3.4645,3.4863,3.494,3.7499,3.716,0
2023-08-04,"68,300",341,1.84,,,0.2163,0.1497,0.785,3.4798,3.498,3.498,3.764,3.7404,0
2023-08-07,"68,500",340,1.84,,,0.212,0.1457,0.7866,3.4943,3.5219,3.475,3.7286,3.6907,0
2023-08-08,"67,600",338,1.84,,,0.2055,0.1416,0.7778,3.4923,3.5187,3.466,3.7022,3.6479,0
2023-08-09,"68,900",342,1.84,,,0.2059,0.1392,0.7842,3.483,3.5114,3.474,3.7144,3.6734,0
2023-08-10,"68,000",340,1.84,,,0.2128,0.1424,0.8078,3.4839,3.5164,3.475,3.7307,3.6886,0
2023-08-11,"67,500",339,1.84,,,0.2126,0.14,0.8128,3.4532,3.4911,3.476,3.7297,3.7,0
2023-08-14,"67,300",336,1.84,,,0.2081,0.1362,0.8136,3.4638,3.5067,3.489,3.7621,3.7498,0
2023-08-16,"67,000",331,1.84,,,0.2021,0.1365,0.8004,3.4275,3.4686,3.462,3.7362,3.7146,0
2023-08-17,"66,700",330,1.84,,,0.1967,0.1447,0.7654,3.3821,3.4456,3.49,3.7899,3.7918,0
2023-08-18,"66,300",328,1.84,,,0.1916,0.1408,0.7674,3.3872,3.4701,3.471,3.734,3.7321,0
2023-08-21,"66,600",329,1.84,,,0.1872,0.1385,0.7713,3.4138,3.473,3.51,3.8017,3.7985,0
2023-08-22,"66,600",330,1.84,,,0.1822,0.1347,0.773,3.4228,3.4783,3.514,3.7985,3.8057,0
2023-08-23,"67,100",329,1.84,,,0.1767,0.1312,0.7698,3.3868,3.474,3.508,3.766,3.7745,0
2023-08-24,"68,200",334,1.84,,,0.1738,0.1279,0.7406,3.4226,3.4739,3.511,3.767,3.762,0
2023-08-25,"67,100",330,1.84,,,0.18,0.137,0.7769,3.2685,3.4249,3.539,3.7953,3.7923,0
2023-08-28,"66,800",333,1.84,,,0.1856,0.1409,0.8021,3.2681,3.4251,3.534,3.776,3.7617,0
2023-08-29,"66,800",334,1.84,,,0.1808,0.141,0.7491,3.3887,3.463,3.526,3.7556,3.7425,0
2023-08-30,"67,100",335,1.84,,,0.1752,0.1372,0.7463,3.4329,3.4794,3.515,3.7506,3.7344,0
2023-08-31,"66,900",335,1.84,,,0.1708,0.1335,0.7485,3.3295,3.4693,3.5,3.7264,3.7134,0
2023-09-01,"71,000",338,1.84,,,0.166,0.1295,0.7466,3.333,3.4591,3.497,3.7183,3.6909,0
2023-09-04,"71,200",341,1.84,,,0.2818,0.1303,0.6297,3.3857,3.5174,3.518,3.78,3.7398,0
2023-09-05,"70,700",340,1.84,,,0.2734,0.1308,0.6175,3.4292,3.5558,3.528,3.8031,3.7671,0
2023-09-06,"70,000",338,1.84,,,0.2665,0.1275,0.6207,3.4154,3.5662,3.514,3.8002,3.7672,0
2023-09-07,"70,400",337,1.84,,,0.2612,0.1256,0.6308,3.4128,3.5872,3.568,3.8727,3.8499,0
2023-09-08,"70,300",336,1.84,,,0.2543,0.1224,0.6175,3.3975,3.5485,3.562,3.8301,3.7972,0
2023-09-11,"70,800",338,1.84,,,0.2466,0.1192,0.6166,3.4363,3.5303,3.607,3.8972,3.8677,0
2023-09-12,"70,500",336,1.84,,,0.2407,0.118,0.6231,3.4196,3.5889,3.622,3.8773,3.8658,0
2023-09-13,"70,900",336,1.84,,,0.2339,0.1165,0.6233,3.4308,3.6028,3.629,3.872,3.8554,0
2023-09-14,"71,700",341,1.84,,,0.2278,0.113,0.6202,3.4353,3.6628,3.633,3.8574,3.838,0
2023-09-15,"72,000",345,1.84,,,0.2253,0.1237,0.6293,3.4128,3.6438,3.645,3.8787,3.8519,0
2023-09-18,"70,200",341,1.84,,,0.219,0.1282,0.6131,3.4333,3.6258,3.664,3.9234,3.8932,0
2023-09-19,"69,800",339,1.84,,,0.2339,0.1323,0.6664,3.4388,3.6355,3.652,3.9072,3.8895,0
2023-09-20,"69,600",339,1.84,,,0.2279,0.1303,0.6702,3.4597,3.6618,3.653,3.9051,3.8926,0
2023-09-21,"68,900",333,1.84,,,0.2213,0.1263,0.6693,3.4692,3.6877,3.672,3.9404,3.9329,0
2023-09-22,"68,800",332,1.84,,,0.2181,0.1408,0.6611,3.478,3.6522,3.658,3.8907,3.8784,0
2023-09-25,"69,400",332,1.84,,,0.2115,0.137,0.6612,3.4631,3.6082,3.651,3.8727,3.879,0
2023-09-26,"68,600",327,1.84,,,0.2078,0.1328,0.6526,3.4925,3.6284,3.66,3.8867,3.894,0
2023-09-27,"68,400",327,1.84,,,0.2065,0.1416,0.6697,3.4793,3.6213,3.661,3.8847,3.8869,0
2023-10-04,"67,500",319,1.84,,,0.2005,0.1373,0.6687,3.515,3.6854,3.757,4.0717,4.1133,0
2023-10-05,"66,700",319,1.84,,,0.2011,0.1644,0.674,3.5021,3.6706,3.744,4.0444,4.0862,0
